ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,CLASS
202,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7
124,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2
152,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
197,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,7
144,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2
99,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2
207,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7
36,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1
50,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1
117,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2
191,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7
2,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
172,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
91,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,2
189,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,7
89,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,2
16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1
173,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5
122,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2
41,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1
179,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6
192,1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,7
203,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7
94,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2
209,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
62,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1
21,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1
211,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7
13,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1
67,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1
74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2
166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
43,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1
201,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7
177,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,6
156,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3
159,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3
55,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1
147,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3
167,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5
34,1.5175299999999998,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1
22,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1
188,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
186,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,7
6,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1
163,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
193,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7
73,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2
119,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2
82,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,2
51,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1
146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
184,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
190,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7
109,1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2
11,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
53,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
25,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1
32,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3
165,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5
116,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,2
57,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1
130,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1
183,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6
127,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
195,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,7
86,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,2
204,1.5165799999999998,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7
107,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2
64,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1
176,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
1,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1
169,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
174,1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0,5
106,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2
76,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2
12,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1
65,1.5217200000000002,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1
131,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2
139,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2
182,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
92,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,2
140,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2
210,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,7
148,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3
71,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,2
47,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1
205,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7
59,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1
77,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,2
60,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,1
206,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,7
96,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,2
214,1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,7
68,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1
111,1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,2
45,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1
110,1.51818,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2
178,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6
160,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
88,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2
98,1.5174299999999998,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2
145,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
